"Clusters" "State" "Living Cost" "Crime Rate" "Well-being" "Health-care Quality" "Tax" "Weather"
"1" "1" "AL" 7 43 28 27 12 41
"4" "1" "AR" 11 45 44 45 34 30
"10" "1" "GA" 10 35 41 40 19 20
"14" "1" "IN" 3 30 46 39 27 34
"17" "1" "KY" 5 9 49 42 29 33
"18" "1" "LA" 19 49 42 49 5 44
"22" "1" "MI" 9 29 39 20 26 45
"25" "1" "MO" 12 37 45 35 23 38
"24" "1" "MS" 1 23 43 43 10 42
"28" "1" "NV" 37 44 38 46 8 4
"35" "1" "OH" 16 27 47 30 32 37
"36" "1" "OK" 4 40 48 50 11 26
"42" "1" "TN" 6 47 37 33 4 24
"48" "1" "WV" 35 14 50 44 33 47
"2" "2" "AK" 47 46 2 37 1 50
"3" "2" "AZ" 27 41 9 21 15 5
"5" "2" "CA" 49 31 10 41 45 2
"6" "2" "CO" 32 25 4 13 16 3
"7" "2" "CT" 46 6 18 25 49 14
"8" "2" "DE" 34 42 27 8 35 18
"9" "2" "FL" 28 39 12 29 17 28
"11" "2" "HI" 50 26 1 22 36 32
"15" "2" "IA" 13 12 14 6 20 39
"12" "2" "ID" 2 2 36 38 22 7
"13" "2" "IL" 23 24 35 26 46 36
"16" "2" "KS" 8 32 25 36 28 17
"21" "2" "MA" 45 21 30 4 39 11
"20" "2" "MD" 40 34 34 19 44 13
"19" "2" "ME" 38 3 22 3 37 27
"23" "2" "MN" 30 15 7 5 42 48
"26" "2" "MT" 33 19 3 27 13 9
"33" "2" "NC" 21 33 23 16 31 19
"34" "2" "ND" 29 10 15 12 18 43
"27" "2" "NE" 14 20 20 15 21 21
"29" "2" "NH" 39 7 21 1 7 49
"30" "2" "NJ" 43 8 32 18 48 15
"31" "2" "NM" 22 50 16 47 14 1
"32" "2" "NY" 48 17 40 31 50 25
"37" "2" "OR" 44 28 31 34 40 31
"38" "2" "PA" 31 16 33 24 38 22
"39" "2" "RI" 41 18 26 7 43 12
"40" "2" "SC" 24 48 19 23 9 16
"41" "2" "SD" 26 11 6 9 2 29
"43" "2" "TX" 17 38 11 48 6 23
"44" "2" "UT" 15 22 8 11 30 6
"46" "2" "VA" 20 4 17 14 24 10
"45" "2" "VT" 42 1 29 10 41 35
"47" "2" "WA" 36 36 24 17 25 40
"49" "2" "WI" 25 13 13 2 47 46
"50" "2" "WY" 18 5 5 32 3 8
